,score,predicate,subject,object
471,3,36993,34765,36505
472,3,36993,27454,27451
473,3,36993,33911,33907
474,3,36993,34484,33567
475,3,36993,34308,34394
476,3,36993,33923,33938
477,3,36993,26806,27109
478,3,36993,26561,26564
479,3,36993,27664,26915
480,3,36993,34762,27424
481,3,36993,36145,31680
482,3,36993,36958,36959
483,3,36993,27418,27320
484,3,36993,27750,26763
485,3,36993,36508,36501
486,3,36993,34454,34025
487,3,36993,33610,26606
488,3,36993,34207,34015
489,3,36993,34219,34010
490,3,36993,36255,36259
491,3,36993,36307,36299
492,3,36993,33988,33944
493,3,36993,34655,36471
494,3,36993,34037,34305
495,3,36993,36779,36818
496,3,36993,36343,26630
497,3,36993,36652,36556
498,3,36993,31710,26647
499,3,36993,33810,33605
500,3,36993,29875,26611
501,3,36993,27428,27467
502,3,36993,33826,33827
503,3,36993,34687,34524
504,3,36993,34015,34007
505,3,36993,36312,26611
506,3,36993,26786,27445
507,3,36993,34667,36481
508,3,36993,34320,34319
509,3,36993,36956,36554
510,3,36993,34663,26885
511,3,36993,28026,33612
512,3,36993,34338,34025
513,3,36993,36618,36580
514,3,36993,34275,34274
515,3,36993,34135,34298
516,3,36993,34621,29677
517,3,36993,34157,26643
518,3,36993,36633,33841
519,3,36993,33910,33907
520,3,36993,34518,27555
521,3,36993,34267,36737
522,3,36993,36502,36497
523,3,36993,34305,33962
524,3,36993,27020,27061
525,3,36993,33963,34057
526,3,36993,27156,26806
527,3,36993,27105,26653
528,3,36993,34495,31673
529,3,36993,34323,34315
530,3,36993,34388,33962
531,3,36993,34594,34533
532,3,36993,36470,34497
533,3,36993,34321,34315
534,3,36993,34461,34462
535,3,36993,33490,34699
536,3,36993,27069,27467
537,3,36993,33842,33856
538,3,36993,33922,33925
539,3,36993,27671,26928
540,3,36993,27490,26653
541,3,36993,33854,34475
542,3,36993,33912,33906
543,3,36993,27361,28841
544,3,36993,34477,33868
545,3,36993,36434,26637
546,3,36993,34603,33854
547,3,36993,27639,27168
548,3,36993,31324,34624
549,3,36993,26792,33325
550,3,36993,29677,33721
551,3,36993,36559,36787
552,3,36993,34022,34019
553,3,36993,34298,34074
554,3,36993,34073,33960
555,3,36993,34003,34338
556,3,36993,27513,27121
557,3,36993,33739,27811
558,3,36993,36320,36319
559,3,36993,36648,36651
560,3,36993,34010,33989
561,3,36993,34265,34266
562,3,36993,26501,27187
563,3,36993,36520,36410
564,3,36993,28263,27627
565,3,36993,36159,31681
566,3,36993,34042,33991
567,3,36993,34764,33600
568,3,36993,26736,33771
569,3,36993,33727,27228
570,3,36993,36361,36322
571,3,36993,26661,27467
572,3,36993,34323,34319
573,3,36993,34101,31710
574,3,36993,27007,33611
575,3,36993,29208,26617
576,3,36993,26723,26685
577,3,36993,36505,34728
578,3,36993,26591,33605
579,3,36993,26635,26646
580,3,36993,30464,34495
581,3,36993,36766,31709
582,3,36993,27720,34966
583,3,36993,36494,33950
584,3,36993,33946,34283
585,3,36993,36325,33589
586,3,36993,34314,34321
587,3,36993,34519,27101
588,3,36993,36785,33612
589,3,36993,26587,33605
590,3,36993,27678,27099
591,3,36993,26647,33590
592,3,36993,34231,33950
593,3,36993,33817,27445
594,3,36993,34033,34016
595,3,36993,27331,34530
596,3,36993,27484,26812
597,3,36993,34347,34074
598,3,36993,30279,31668
599,3,36993,34006,34007
600,3,36993,34044,34393
601,3,36993,34300,34291
602,3,36993,34591,34590
603,3,36993,36777,26649
604,3,36993,34255,34244
605,3,36993,26971,27467
606,3,36993,36437,34582
607,3,36993,27023,33771
608,3,36993,33977,34342
609,3,36993,33956,33979
610,3,36993,34224,33944
611,3,36993,27311,27509
612,3,36993,34595,33869
613,3,36993,34058,33967
614,3,36993,33993,33994
615,3,36993,26759,27342
616,3,36993,34565,33590
617,3,36993,33947,33979
618,3,36993,36776,36787
619,3,36993,34494,34754
620,3,36993,26625,27803
621,3,36993,30104,36786
622,3,36993,36501,36505
623,3,36993,36240,31725
624,3,36993,33799,36185
625,3,36993,27066,27250
626,3,36993,36250,36251
627,3,36993,36774,34533
628,3,36993,34344,33979
629,3,36993,26840,26919
630,3,36993,36773,26637
631,3,36993,33794,33771
632,3,36993,33869,34591
633,3,36993,26643,26601
634,3,36993,33771,33869
635,3,36993,34416,34418
636,3,36993,34223,34363
637,3,36993,36594,27808
638,3,36993,26617,36435
639,3,36993,33945,33947
640,3,36993,34869,27115
641,3,36993,33360,26515
642,3,36993,26674,27696
643,3,36993,26922,26779
644,3,36993,33937,33924
645,3,36993,34462,34463
646,3,36993,27228,27748
647,3,36993,27787,26897
648,3,36993,36740,34267
649,3,36993,27797,26798
650,3,36993,36782,27983
651,3,36993,34057,33981
652,3,36993,36243,30911
653,3,36993,34567,36479
654,3,36993,33930,33924
655,3,36993,26619,26613
656,3,36993,33610,27627
657,3,36993,26627,26634
658,3,36993,26886,34645
659,3,36993,34639,34641
660,3,36993,34071,34044
661,3,36993,34011,34010
662,3,36993,27447,26868
663,3,36993,34019,33970
664,3,36993,34322,34324
665,3,36993,27129,27337
666,3,36993,36760,33590
667,3,36993,26765,26798
668,3,36993,36671,36478
669,3,36993,34471,34492
670,3,36993,27413,26868
671,3,36993,33938,33922
672,3,36993,36583,36959
673,3,36993,33881,33819
674,3,36993,34321,34324
675,3,36993,33561,33605
676,3,36993,34637,34590
677,3,36993,34286,34016
678,3,36993,36660,33322
679,3,36993,36431,33322
680,3,36993,34058,33991
681,3,36993,26606,26634
682,3,36993,36780,27627
683,3,36993,34015,34014
684,3,36993,34349,34214
685,3,36993,33954,33970
686,3,36993,26718,28230
687,3,36993,31418,27418
688,3,36993,34625,26637
689,3,36993,31649,26868
690,3,36993,36506,36497
691,3,36993,36619,27115
692,3,36993,36720,36719
693,3,36993,33919,33927
694,3,36993,26665,27061
695,3,36993,36630,34079
696,3,36993,36496,34728
697,3,36993,34356,33969
698,3,36993,26651,26646
699,3,36993,34072,33990
700,3,36993,33893,33894
701,3,36993,33860,27803
702,3,36993,27811,33611
703,3,36993,34575,27320
704,3,36993,27456,28230
705,3,36993,34388,33981
706,3,36993,34012,34010
707,3,36993,36970,26520
708,3,36993,34589,26990
709,3,36993,36739,36740
710,3,36993,27283,29208
711,3,36993,33878,27128
712,3,36993,36255,36260
713,3,36993,36321,27983
714,3,36993,34008,34338
715,3,36993,27046,27467
716,3,36993,36519,34728
717,3,36993,34059,33960
718,3,36993,28080,27516
719,3,36993,34286,34287
720,3,36993,34613,28553
721,3,36993,34234,34235
722,3,36993,36951,34655
723,3,36993,36954,33881
724,3,36993,27210,36818
725,3,36993,27013,31721
726,3,36993,34385,34363
727,3,36993,36775,29255
728,3,36993,36108,26608
729,3,36993,26779,27095
730,3,36993,26684,26643
731,3,36993,27395,26819
732,3,36993,34027,36265
733,3,36993,30569,34493
734,3,36993,34301,34302
735,3,36993,34003,33971
736,3,36993,33826,33790
737,3,36993,34309,34030
738,3,36993,36517,34728
739,3,36993,27197,33790
740,3,36993,27965,34529
741,3,36993,27058,26608
742,3,36993,36106,36266
743,3,36993,36632,36560
744,3,36993,36496,36410
745,3,36993,36109,33730
746,3,36993,34513,34471
747,3,36993,34249,33984
748,3,36993,34004,34003
749,3,36993,36862,36264
750,3,36993,36653,26653
751,3,36993,34649,34596
752,3,36993,33772,26611
753,3,36993,27003,27462
754,3,36993,36470,34497
755,3,36993,33983,33966
756,3,36993,36347,26643
757,3,36993,34328,34019
758,3,36993,36427,29181
759,3,36993,36969,26607
760,3,36993,29128,28841
761,3,36993,26768,30279
762,3,36993,36644,36324
763,3,36993,34532,26637
764,3,36993,27290,36505
765,3,36993,26543,28553
766,3,36993,34288,34006
767,3,36993,36747,36748
768,3,36993,36612,36609
769,3,36993,31424,31447
770,3,36993,33942,27811
771,3,36993,27403,26798
772,3,36993,34463,34416
773,3,36993,26963,26854
774,3,36993,26894,27499
775,3,36993,34330,34331
776,3,36993,33911,33905
777,3,36993,34582,34515
778,3,36993,36764,26648
779,3,36993,33832,26641
780,3,36993,34666,27293
781,3,36993,36513,36410
782,3,36993,36770,27983
783,3,36993,33612,30053
784,3,36993,33853,34477
785,3,36993,27267,27328
786,3,36993,36503,26611
787,3,36993,36497,27366
788,3,36993,36589,36590
789,3,36993,27320,26798
790,3,36993,36615,33605
791,3,36993,33613,33600
792,3,36993,36887,36726
793,3,36993,26540,26611
794,3,36993,27219,27141
795,3,36993,34495,26643
796,3,36993,27110,27366
797,3,36993,34034,34013
798,3,36993,28287,26600
799,3,36993,26702,27695
800,3,36993,36432,26653
801,3,36993,33970,33960
802,3,36993,36415,36390
803,3,36993,26609,26641
804,3,36993,36774,34499
805,3,36993,34550,33158
806,3,36993,34287,34207
807,3,36993,36766,29181
808,3,36993,34352,33959
809,3,36993,33369,33505
810,3,36993,34281,34287
811,3,36993,33911,33904
812,3,36993,36516,36497
813,3,36993,36560,36561
814,3,36993,26649,26601
815,3,36993,36420,31673
816,3,36993,27233,36793
817,3,36993,27121,27210
818,3,36993,33913,33914
819,3,36993,36038,34478
820,3,36993,26982,33747
821,3,36993,34295,34300
822,3,36993,34011,34025
823,3,36993,36966,36965
824,3,36993,36694,36734
825,3,36993,36556,33345
826,3,36993,36084,34728
827,3,36993,34502,34477
828,3,36993,33876,27320
829,3,36993,34042,33978
830,3,36993,27636,27413
831,3,36993,36495,33952
832,3,36993,34294,34301
833,3,36993,33709,29222
834,3,36993,27119,33611
835,3,36993,36736,36740
836,3,36993,33914,33915
837,3,36993,29088,30911
838,3,36993,33971,33978
839,3,36993,34521,27293
840,3,36993,34254,33983
841,3,36993,36767,29181
842,3,36993,34566,36349
843,3,36993,33490,27230
844,3,36993,34687,34508
845,3,36993,27637,27047
846,3,36993,36606,36611
847,3,36993,36305,36299
848,3,36993,33908,33912
849,3,36993,33479,27141
850,3,36993,33973,33995
851,3,36993,34183,36655
852,3,36993,27545,27047
853,3,36993,31680,33860
854,3,36993,36621,33322
855,3,36993,33924,33934
856,3,36993,26665,26779
857,3,36993,34028,34016
858,3,36993,36762,27102
859,3,36993,27102,27982
860,3,36993,36108,36322
861,3,36993,34356,34235
862,3,36993,33896,33892
863,3,36993,27695,31755
864,3,36993,34259,33966
865,3,36993,26902,27516
866,3,36993,33909,33906
867,3,36993,33836,33832
868,3,36993,33803,26637
869,3,36993,34200,34292
870,3,36993,34462,34417
871,3,36993,33554,34728
872,3,36993,27344,27467
873,3,36993,34351,33975
874,3,36993,34774,33771
875,3,36993,36786,33824
876,3,36993,34639,34640
877,3,36993,34071,33951
878,3,36993,34459,34418
879,3,36993,36188,33774
880,3,36993,26990,27976
881,3,36993,34584,34750
882,3,36993,34273,34274
883,3,36993,26645,26635
884,3,36993,36422,33752
885,3,36993,36523,36505
886,3,36993,30911,31673
887,3,36993,34310,33988
888,3,36993,33920,33922
889,3,36993,36505,36498
890,3,36993,36866,36753
891,3,36993,34353,33959
892,3,36993,34316,34314
893,3,36993,34301,34298
894,3,36993,36541,33853
895,3,36993,34296,34293
896,3,36993,33969,33976
897,3,36993,34235,34239
898,3,36993,34604,27550
899,3,36993,36564,33771
900,3,36993,27494,27210
901,3,36993,36260,36261
902,3,36993,33991,34338
903,3,36993,33933,33937
904,3,36993,28847,34679
905,3,36993,36256,36257
906,3,36993,34336,34010
907,3,36993,34328,34020
908,3,36993,33824,33611
909,3,36993,34065,34037
910,3,36993,33978,34041
911,3,36993,36969,36794
912,3,36993,26573,36076
913,3,36993,36643,34516
914,3,36993,26885,27320
915,3,36993,33606,26649
916,3,36993,35055,34499
917,3,36993,27427,28553
918,3,36993,34695,34514
919,3,36993,34222,34394
920,3,36993,34628,33868
921,3,36993,36522,34728
922,3,36993,36521,36501
923,3,36993,27996,27235
924,3,36993,36349,26625
925,3,36993,27303,26991
926,3,36993,36609,36606
927,3,36993,33979,34041
928,3,36993,36519,36410
929,3,36993,26914,33610
930,3,36993,27574,27001
931,3,36993,33962,34395
932,3,36993,30053,27805
933,3,36993,26650,26653
934,3,36993,36490,34195
935,3,36993,34514,34728
936,3,36993,34574,33868
937,3,36993,34452,34338
938,3,36993,34313,34321
939,3,36993,36782,27803
940,3,36993,34006,34041
941,3,36993,34539,26649
942,3,36993,33514,26858
943,3,36993,36557,36581
944,3,36993,33948,34306
945,3,36993,34043,34010
946,3,36993,34387,34060
947,3,36993,30380,26753
948,3,36993,36726,36966
949,3,36993,27491,27059
950,3,36993,33848,33774
951,3,36993,33859,33771
952,3,36993,33352,27347
953,3,36993,34004,34003
954,3,36993,34414,34416
955,3,36993,36446,33567
956,3,36993,27683,36501
957,3,36993,35964,36505
958,3,36993,27063,26822
959,3,36993,33872,27293
960,3,36993,36552,27293
961,3,36993,34207,34288
962,3,36993,33921,33922
963,3,36993,33974,33954
964,3,36993,26699,26608
965,3,36993,33988,34044
966,3,36993,34068,33960
967,3,36993,36500,36410
968,3,36993,34030,34025
969,3,36993,34593,31681
970,3,36993,26680,26739
971,3,36993,34531,27976
972,3,36993,27549,27141
973,3,36993,27120,34524
974,3,36993,34475,33771
975,3,36993,34487,27293
976,3,36993,33819,26619
977,3,36993,26927,27395
978,3,36993,33847,33837
979,3,36993,36561,36787
980,3,36993,34015,34338
981,3,36993,27435,27320
982,3,36993,36312,26643
983,3,36993,34578,26600
984,3,36993,34762,26847
985,3,36993,33966,34256
986,3,36993,26503,33605
987,3,36993,34086,26611
988,3,36993,36958,36957
989,3,36993,33574,33774
990,3,36993,34271,34272
991,3,36993,34046,33985
992,3,36993,34135,34292
993,3,36993,34367,34007
994,3,36993,36141,27250
995,3,36993,27581,27594
996,3,36993,33853,34475
997,3,36993,36247,33611
998,3,36993,33570,33605
999,3,36993,26925,36818
1000,3,36993,31748,28553
1001,3,36993,36495,33975
1002,3,36993,27156,27695
1003,3,36993,35345,27181
1004,3,36993,34495,26625
1005,3,36993,33894,33897
1006,3,36993,36779,33465
1007,3,36993,26930,26761
1008,3,36993,34321,34316
1009,3,36993,27352,31681
1010,3,36993,36664,34531
1011,3,36993,33810,33605
1012,3,36993,33490,27811
1013,3,36993,34400,34287
1014,3,36993,34349,33973
1015,3,36993,34054,34226
1016,3,36993,27297,27682
1017,3,36993,34667,27293
1018,3,36993,27176,26976
1019,3,36993,27490,26643
1020,3,36993,33912,33905
1021,3,36993,34663,27578
1022,3,36993,33924,33927
1023,3,36993,36434,26763
1024,3,36993,34275,34273
1025,3,36993,34621,28841
1026,3,36993,36633,28841
1027,3,36993,33910,33906
1028,3,36993,36390,36377
1029,3,36993,29677,33721
1030,3,36993,36516,36501
1031,3,36993,36502,36501
1032,3,36993,34305,34394
1033,3,36993,36958,36585
1034,3,36993,34046,34060
1035,3,36993,36173,26991
1036,3,36993,33739,33611
1037,3,36993,27853,26903
1038,3,36993,34388,33974
1039,3,36993,34010,34046
1040,3,36993,34594,33771
1041,3,36993,34509,27811
1042,3,36993,28263,36310
1043,3,36993,34042,34057
1044,3,36993,34461,34417
1045,3,36993,34749,27627
1046,3,36993,34024,34016
1047,3,36993,27815,27445
1048,3,36993,34071,34226
1049,3,36993,33842,26643
1050,3,36993,33922,33917
1051,3,36993,36183,27424
1052,3,36993,36204,34630
1053,3,36993,36463,36440
1054,3,36993,33854,34475
1055,3,36993,36493,34017
1056,3,36993,31669,33841
1057,3,36993,33693,29677
1058,3,36993,27352,31681
1059,3,36993,27639,26685
1060,3,36993,36429,26625
1061,3,36993,26635,26606
1062,3,36993,33976,34044
1063,3,36993,34427,34016
1064,3,36993,36559,36632
