,predicate,subject,object,sub,pred,obj
17927,11992,11035,1276,11035,11992,1276
17928,11992,7798,862,7798,11992,862
17929,11992,3324,1414,3324,11992,1414
17930,11992,11211,1454,11211,11992,1454
17931,11992,10033,1063,10033,11992,1063
17932,11992,9491,132,9491,11992,132
17933,11992,4959,112,4959,11992,112
17934,11992,4100,110,4100,11992,110
17935,11992,6748,458,6748,11992,458
17936,11992,7922,1407,7922,11992,1407
17937,11992,8636,900,8636,11992,900
17938,11992,9535,986,9535,11992,986
17939,11992,3785,105,3785,11992,105
17940,11992,8106,497,8106,11992,497
17941,11992,8953,1109,8953,11992,1109
17942,11992,8902,1242,8902,11992,1242
17943,11992,11712,1291,11712,11992,1291
17944,11992,9608,563,9608,11992,563
17945,11992,3454,252,3454,11992,252
17946,11992,9247,1337,9247,11992,1337
17947,11992,8199,531,8199,11992,531
17948,11992,3070,8,3070,11992,8
17949,11992,3972,537,3972,11992,537
17950,11992,10483,837,10483,11992,837
17951,11992,3439,1099,3439,11992,1099
17952,11992,5842,696,5842,11992,696
17953,11992,3478,1193,3478,11992,1193
17954,11992,6797,1332,6797,11992,1332
17955,11992,11514,856,11514,11992,856
17956,11992,4275,444,4275,11992,444
17957,11992,6127,1176,6127,11992,1176
17958,11992,2749,1386,2749,11992,1386
17959,11992,9803,205,9803,11992,205
17960,11992,4523,569,4523,11992,569
17961,11992,7968,533,7968,11992,533
17962,11992,4372,1405,4372,11992,1405
17963,11992,7403,149,7403,11992,149
17964,11992,10379,1320,10379,11992,1320
17965,11992,3308,101,3308,11992,101
17966,11992,11191,1311,11191,11992,1311
17967,11992,5809,218,5809,11992,218
17968,11992,11975,1338,11975,11992,1338
17969,11992,2556,1469,2556,11992,1469
17970,11992,2700,1175,2700,11992,1175
17971,11992,9666,1102,9666,11992,1102
17972,11992,7474,219,7474,11992,219
17973,11992,11083,364,11083,11992,364
17974,11992,4691,124,4691,11992,124
17975,11992,10943,1462,10943,11992,1462
17976,11992,10474,1382,10474,11992,1382
17977,11992,8156,1409,8156,11992,1409
17978,11992,9380,187,9380,11992,187
17979,11992,9101,282,9101,11992,282
17980,11992,5306,1259,5306,11992,1259
17981,11992,5548,754,5548,11992,754
17982,11992,8512,1115,8512,11992,1115
17983,11992,6072,493,6072,11992,493
17984,11992,8733,1465,8733,11992,1465
17985,11992,10659,526,10659,11992,526
17986,11992,3837,574,3837,11992,574
17987,11992,9023,334,9023,11992,334
17988,11992,10087,201,10087,11992,201
17989,11992,6523,879,6523,11992,879
17990,11992,7316,478,7316,11992,478
17991,11992,2271,409,2271,11992,409
17992,11992,1682,217,1682,11992,217
17993,11992,10051,1281,10051,11992,1281
17994,11992,11867,1460,11867,11992,1460
17995,11992,4613,899,4613,11992,899
17996,11992,3938,807,3938,11992,807
17997,11992,4039,669,4039,11992,669
17998,11992,11923,777,11923,11992,777
17999,11992,6256,374,6256,11992,374
18000,11992,7593,1093,7593,11992,1093
18001,11992,5240,995,5240,11992,995
18002,11992,7315,1134,7315,11992,1134
18003,11992,8273,1269,8273,11992,1269
18004,11992,2915,333,2915,11992,333
18005,11992,7876,1239,7876,11992,1239
18006,11992,8420,377,8420,11992,377
18007,11992,11497,954,11497,11992,954
18008,11992,3173,138,3173,11992,138
18009,11992,9759,910,9759,11992,910
18010,11992,11766,1255,11766,11992,1255
18011,11992,4145,480,4145,11992,480
18012,11992,10324,363,10324,11992,363
18013,11992,3485,383,3485,11992,383
18014,11992,7673,412,7673,11992,412
18015,11992,4236,625,4236,11992,625
18016,11992,8751,534,8751,11992,534
18017,11992,5501,350,5501,11992,350
18018,11992,6826,0,6826,11992,0
18019,11992,8916,1299,8916,11992,1299
18020,11992,2468,92,2468,11992,92
18021,11992,4467,45,4467,11992,45
18022,11992,11628,1345,11628,11992,1345
18023,11992,2851,390,2851,11992,390
18024,11992,4205,704,4205,11992,704
