,predicate,subject,object,sub,pred,obj
23200,9595,11990,10808,10808,9595,11990
23201,2120,11990,7777,7777,2120,11990
23202,5870,11990,4321,4321,5870,11990
23203,6791,11990,10318,10318,6791,11990
23204,8700,11990,10400,10400,8700,11990
23205,11649,11990,6922,6922,11649,11990
23206,10820,11990,8330,8330,10820,11990
23207,7861,11990,11602,11602,7861,11990
23208,5749,11990,3864,3864,5749,11990
23209,2084,11990,2877,2877,2084,11990
23210,6054,11990,2789,2789,6054,11990
23211,10645,11990,6871,6871,10645,11990
23212,10684,11990,3772,3772,10684,11990
23213,2041,11990,3702,3702,2041,11990
23214,2037,11990,11366,11366,2037,11990
23215,6541,11990,7262,7262,6541,11990
23216,9199,11990,11585,11585,9199,11990
23217,5118,11990,2823,2823,5118,11990
23218,6913,11990,3895,3895,6913,11990
23219,3270,11990,9007,9007,3270,11990
23220,7235,11990,9824,9824,7235,11990
23221,10786,11990,8649,8649,10786,11990
23222,9107,11990,5101,5101,9107,11990
23223,4514,11990,11876,11876,4514,11990
23224,6383,11990,9389,9389,6383,11990
23225,8657,11990,9905,9905,8657,11990
23226,5378,11990,10789,10789,5378,11990
23227,6903,11990,9805,9805,6903,11990
23228,10183,11990,8264,8264,10183,11990
23229,10760,11990,2677,2677,10760,11990
23230,1500,11990,3160,3160,1500,11990
23231,7161,11990,7602,7602,7161,11990
23232,4493,11990,10772,10772,4493,11990
23233,5090,11990,11576,11576,5090,11990
23234,4182,11990,6226,6226,4182,11990
23235,2001,11990,1746,1746,2001,11990
23236,10264,11990,11589,11589,10264,11990
23237,7482,11990,4246,4246,7482,11990
23238,2829,11990,3531,3531,2829,11990
23239,10039,11990,8908,8908,10039,11990
23240,3658,11990,3168,3168,3658,11990
23241,9296,11990,4318,4318,9296,11990
23242,10549,11990,4734,4734,10549,11990
23243,4098,11990,3170,3170,4098,11990
23244,6403,11990,6192,6192,6403,11990
23245,9659,11990,8755,8755,9659,11990
23246,5003,11990,9393,9393,5003,11990
23247,3928,11990,5180,5180,3928,11990
23248,7332,11990,10309,10309,7332,11990
23249,11830,11990,3814,3814,11830,11990
23250,8539,11990,9117,9117,8539,11990
23251,2483,11990,5453,5453,2483,11990
23252,8074,11990,6660,6660,8074,11990
23253,9994,11990,5902,5902,9994,11990
23254,3194,11990,7892,7892,3194,11990
23255,2328,11990,10774,10774,2328,11990
23256,9218,11990,6098,6098,9218,11990
23257,4518,11990,5106,5106,4518,11990
23258,8384,11990,5178,5178,8384,11990
23259,4432,11990,10476,10476,4432,11990
23260,6673,11990,4735,4735,6673,11990
23261,5972,11990,4345,4345,5972,11990
23262,4450,11990,2825,2825,4450,11990
23263,4201,11990,1499,1499,4201,11990
23264,9396,11990,9469,9469,9396,11990
23265,4439,11990,10574,10574,4439,11990
23266,4499,11990,8254,8254,4499,11990
23267,8491,11990,4531,4531,8491,11990
23268,6313,11990,4732,4732,6313,11990
23269,10112,11990,3894,3894,10112,11990
23270,9253,11990,4323,4323,9253,11990
23271,11624,11990,9903,9903,11624,11990
23272,7115,11990,9129,9129,7115,11990
23273,9128,11990,11066,11066,9128,11990
23274,10628,11990,6231,6231,10628,11990
23275,11655,11990,5282,5282,11655,11990
23276,9171,11990,1762,1762,9171,11990
23277,3724,11990,6136,6136,3724,11990
23278,10321,11990,5906,5906,10321,11990
23279,5818,11990,6464,6464,5818,11990
23280,9732,11990,9297,9297,9732,11990
23281,3617,11990,3594,3594,3617,11990
23282,4175,11990,3695,3695,4175,11990
23283,3239,11990,11604,11604,3239,11990
23284,10066,11990,4613,4613,10066,11990
23285,6809,11990,4897,4897,6809,11990
23286,2132,11990,2431,2431,2132,11990
23287,10644,11990,1687,1687,10644,11990
23288,11661,11990,3969,3969,11661,11990
23289,11198,11990,9030,9030,11198,11990
23290,8984,11990,1768,1768,8984,11990
23291,10050,11990,8798,8798,10050,11990
23292,7446,11990,7969,7969,7446,11990
23293,8805,11990,3816,3816,8805,11990
23294,11602,11990,8154,8154,11602,11990
23295,8534,11990,11157,11157,8534,11990
23296,1499,11990,3041,3041,1499,11990
23297,5345,11990,10518,10518,5345,11990
23298,6700,11990,3237,3237,6700,11990
23299,3544,11990,4819,4819,3544,11990
23300,3764,11990,9575,9575,3764,11990
23301,11180,11990,2090,2090,11180,11990
23302,1916,11990,6980,6980,1916,11990
